# Logfile created on 2025-12-26 19:34:57 +0530 by logger.rb/v1.4.3
2025-12-26 19:34:57 +0530: Memory Usage (439236K) : digisub_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439364K) : nodrc_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439492K) : text_drw has 2 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439620K) : via4_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439620K) : metal5_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439748K) : metal5_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439748K) : metal5_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439876K) : metal5_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439876K) : metal5_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (439876K) : metal5_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440004K) : metal5_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440004K) : metal5_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440132K) : metal5_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440132K) : metal5_res has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440260K) : metal5_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440260K) : metal5_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440388K) : radhard_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440388K) : memcap_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440516K) : varicap_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440516K) : flash_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440644K) : intbondvia_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440644K) : intbondmet_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440772K) : devbondvia_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440772K) : devbondmet_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440900K) : devtrench_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (440900K) : redist_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441028K) : graphbot_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441156K) : graphtop_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (441156K) : antvia1_drw has 0 polygons
